,Orange
0,30202001140931
1,30202001145998
2,30201901109473
3,30202001124755
4,30202001145998
5,30202001132633
6,30202001137494
7,30202001146870
8,3020200114599
9,30201901120722
10,Superior Court
11,30202001146876
12,30201901050002
13,3020190105002
14,30201700920613
15,30202001153422
16,30201801006531
17,30202001142679
18,30201901115500
19,30202001134154
20,30202001130147
21,30202001138238
22,30201700933404
23,30201901120155
24,30201901075365
25,30202001134895
26,30201800984697
27,30202001124755
28,30201901059680
29,30202001124755
30,30201901107066
31,3020190113697
32,30201800998174
33,30202001126290
34,30201901065145
35,3020201126290
36,30-2019-01059680
37,30201901099578
38,30201800996645
39,30201901059680
40,30201901112996
41,30201901118634
42,30201901092654
43,30201901109415
44,30201901098778
45,30201901086418
46,30201901096236
47,19V002621
48,30201901078007
49,30201901101730
50,30201901089802
51,30201901069090
52,30201700907270
53,30201901073635
54,30201901078309
55,30201901068167
56,30201901068167
57,30201901069548
58,30201901084608
59,30201901071539
60,30201700915715
61,30201901069090
62,30201901084608
63,30201901075384
64,30201901064624
65,30201801045532
66,30201801020606
67,30201801032126
68,30201901063157
69,30201801032126
70,30201901051073
71,30201801020606
72,30201901061518
73,30201801045532
74,30201901047867
75,30201600882380
76,30201801001610
77,30201801034454
78,30201801026456
79,30201801010824
80,30201801020193
81,30201700942737
82,30201801005319
83,30201600883107
84,30201801014624
85,30201800971797
86,30201801010943
87,30201800976891
88,30201801008497
89,30201801008497
90,30201700959007
91,30201700955499
92,30201801000833
93,30201800985609
94,30201700934304
95,30201700909600
96,30201800999614
97,
98,30201800997742
99,30201800979971
100,30201700934304
101,30201800970222
102,30201800989727
103,30201800985887
104,30201800978999
105,30201700934970
106,30201700941294
107,30201800982661
108,30201800970253
109,30201800978999
110,30201800976148
111,30201800982026
112,30201700899535
113,30201800972573
114,30201700947103
115,30201600878748
116,30201700947103
117,30201800968408
118,30201700947103
119,30201800973247
120,30201700947103
121,30201800977566
122,30201700936118
123,30201700943974
124,30201700961748
125,30201700901650
126,30201700948726
127,30201700962659
128,30201700958042
129,30201800964933
130,30201700962659
131,30201600880121
132,30201600892455
133,30201600883107
134,30201700957132
135,30201600892455
136,30201700949149
137,30201700902442
138,30201700943190
139,30201700944066
140,30201700930856
141,30201700901326
142,30201700926256
143,30201500785710
144,30201700939294
145,30201600883653
146,30201700915219
147,30201600889987
148,30201700934391
149,30201600881906
150,30201700934391
151,30201700936986
152,30201700937853
153,30201700927330
154,30201700922882
155,30201700927385
156,30201700912363
157,BC639914
158,30201600839341
159,30201700912363
160,30201600839341
161,30201700924904
162,30201`600839341
163,30201700901326
164,30201600883653
165,30201600883653
166,30201700901650
167,30201700899789
168,30201300686083
169,30201700914080
170,30201700913928
171,30201600861399
172,30201600839341
173,30201600889632CUDFCJC
174,30201600859365CUCRCJC
175,30201500767937
176,30201500812942CUBCCJC
177,30201700908255LCBCCJC
178,30201500783278
179,30201600873767
180,30201600875744
181,302014003737104
182,30201600849787
183,30201600865811
184,
185,30201600861961
186,30201600865811
187,30201300686083
188,30201600861399
189,30201300686083
190,30201700911555
191,30201700896448
192,30201600830883
193,30201600879400
194,30-2017-00897374
195,30-2015-00815427
196,30201600832860
197,30201600873767
198,30201600887815
199,30201600882588
200,30201600883369
201,30201600893488
202,30201600883210
203,30201600841502
204,30201600893407
205,30201600887815CUDFCJC
206,30201600873362
207,30201600848849CUBTCJC
208,30201500823636CUMCCJC
209,30201500827217CLPOCJC
210,30201600845629
211,30201200553004
212,30201600877038CUBTCJC
213,30201600863210CUWTCJC
214,30201600862691
215,30201600855458
216,30201600845711
217,30201600857036CUBTCJC
218,30201600831437CUDFCJC
219,30201600857184CUOECJC
220,30201600861961CLDFCJC
221,30201600865811CLDFCJC
222,30201600865668CUNPCJC
223,30201300651441
224,SC124447
225,30201600850500CUCOCJC
226,30201600848849CUBTCJC
227,30201600848867CUBTCJC
228,30201600845174CUPNCCJC
229,30201500827688CUFRCJC
230,30201600855179CUBCCJC
231,30201600848577CUHRHNB
232,30201600852277CUBCCJC
233,30201600841463CUORCJC
234,30201400725697CUPPCJC
235,30201500822123CUBTCJC
236,30201400725697
237,09D0000398
238,30201600838489
239,30201600846354CUWTCJC
240,09D0000398
241,30201600838489
242,SC124447
243,30201500770823CUOECJC
244,30201500771141CUBCCJC
245,30201600845629
246,30201600838694CUWTCJC
247,302091400725697
248,30201100459587
249,30201400755218CLUDHNB
250,30201300649361
251,30201500801521CUWTCJC
252,30201500789512CUBTCJC
253,30201300660230CUWTCJC
254,30201400735107CUDFCJC
255,30201500764827CUOCJC
256,30201400746931
257,30201500825946CUMCCJC
258,30201500795665CUORCJC
259,30201500774406CUNPCJC
260,30201500810428
261,30201400747427CUPTCJC
262,30201500834143CUFRCXC
263,30201400738725CUDFCJC
264,30201500787852CUNPCJC
265,30201500823008CUPOCJC
266,30201500820760CUFRCJC
267,30201500813119
268,30201500815583
269,30201500818735CUOECJC
270,30201400735289
271,30201500817642CUCFCJC
272,30201500787852CUNPCJC
273,30201400759162CUFRCJC
274,30201500801521CUWTCJC
275,30201400738725
276,30201400738725CUDFCJC
277,30201500794869CUNPCJC
278,30201500803234CUWMCJC
279,30201400732172
280,30201300688237
281,30201400735104
282,30201400743297
283,30201400734233
284,30201400719593
285,30201500771236
286,30201400726400
287,30201300685247
288,30201400733040CUPOCJC
289,30201400730173
290,30201400735104CUBTCJC
291,30201400728897
292,30201500788051CUNPCJC
293,30201400742095CUWTCJC
294,30201300665772
295,30201400750021CUBTCJC
296,30201400738725CUDFCJC
297,30201400730372CUFRCJC
298,30201400719242CUBCCJC
299,30201400738725CUDFCJC
300,30201400750021
301,30201400730009
302,30201400713186
303,30201400754378
304,30201400699812
305,30201500771236CUBTCJC
306,30201400753369CUCOCJC
307,30201400728783CUNPCJC
308,30201400738725
309,30201400755218CLUDHNB
310,30201400738725
311,315CV330JLSMDD
312,30201400738725CUDFCJC
313,30201400753369CUCOCJC
314,30201500781113
315,30201500768895
316,30201400732455CUICCJC
317,30201400758749CUPOCJC
318,00732699
319,30201400732699CUNPCJC
320,30201300690757CUBTCXC
321,30201400755218CLUDHNB
322,30201400751855CUBTCJC
323,30201400746592CUBCCJC
324,30201400750021CUBTCJC
325,30201400746592CUBCCJC
326,30201300685656CUPOCJC
327,30201400720930
328,30201400717337PRCECJC
329,30201400703211CUIPCJC
330,30201400702067CUBCCJC
331,30201300683908 CUBCCJC
332,30201400704076 CUBTCJC
333,30201400704076
334,30201400696841 CUFRCJC
335,30201400700239 CUDFCJC
336,30201300679373 CUOECJC
337,30201400702048 CUFRCJC
338,30201300682658 CUIPCJC
339,30201300682658 CUIPCJC
340,30201300691285 CUPOCJC
341,30201300691988 CUFRCJC
342,30201300675336 CUMCCJC;
343,30201300680161 CUDFCJC
344,30201300693658 CLBCCJC
345,30201300681821
346,30201300688382 CUWMCJC
347,30201300670581 CUCRCJC
348,30201300667013 CUFRCJC
349,30201300679683 CUBCCJC
350,SACV1200403 CJC
351,30201300681300 CUMCCJC
352,30201300638568 CUDFCJC
353,30201300649217 CUCRCJC
354,30201200562808 CUBCCJC
355,30201200592583 CUBTCJC
356,30201300660843 CUBCCJC
357,30201300670139 CUCRCXC
358,30201200620615
359,30201300622505 CUFRCJC
360,30201300658561 CUFRCJC
361,30201200615015
362,30201200600786
363,30201300655204 CLNPHLH
364,30201200597715
365,30201300624755 CUPOCJC
366,30201300645720 CUBCCJC
367,30201300630534
368,30201300630572
369,30201300635372 CUNPCJC
370,30201300622548 CUCRCJC
371,302012615196 CUBCCJC
372,30201300640215 CUNPCJC
373,30201300644063
374,30201300635221 CUOECJC
375,30201200557471
376,30201200593826 CUBCCJC
377,30201200621436
378,30201200618446 CUPOCJC
379,30201300630152 CUWMCJC
380,30201300630152 CUWMCJC
381,30201200613324
382,30201200601360 CUCD
383,30201300624454 CUBCCJC
384,30201100515117
385,30201200541191
386,30201200578899 CUDFCJC
387,30201200614531
388,30201200612863 CUBCCJC
389,30201300622548 CUCRCJC
390,30201200606522 CUBCCJC
391,30201200598485
392,30201200603273 CUNPCJC
393,30201200603273 CUNPCJC
394,30201200541804
395,30201200618712 CUDFCJC
396,30201200562011
397,30201200607657
398,30201200585606
399,30201200564969
400,30201200596407
401,30201200597156 CUDFCJC
402,30201200579274 CUWMCJC
403,11CV2741 WKSC
404,30201200577763 CUFRCJC
405,30201200578759
406,30201200583609 CUBCCJC
407,30201200587297
408,30201200581734
409,30201200537399 CUBCCJC (related case #30201100525354)
410,30201200566433
411,30201200550608
412,30201100525354 (related case 30201200537399)
413,30201200557319
414,30201200585606
415,30201100510793
416,30201200572516
417,30201200548337
418,3020120550608
419,30201200558031
420,811CV01751VBF(AJW)
421,30201200550738
422,30201200536491 related case nos 30201000405504; 30201100444965
423,30201100531819clbccjc
424,30201100444364
425,30201200553217
426,30-2011-00529475-CU-PO-CJC
427,30201100531819clbccjc
428,30-2011 00533521
429,30201100520642
430,30201200540310
431,30201100532579
432,30201100513743CUBCCJC
433,30201100494056
434,30201100512549
435,30201100511195
436,30201100522735
437,30201100454420
438,30201100497399
439,30201100498152
440,30201100506045
441,30201100497399
442,30201100501943CUNPCJC
443,30201100493620
444,30201100480641
445,30201100484245CUORCJC
446,30201100496128
447,30201100476941
448,30201100489382
449,30201100463202
450,30201100470289
451,30201000420414
452,30201100464153
453,30201100461706
454,30201100455971
455,30201100444134
456,30201000437144CUWMCXC
457,30201100459070
458,30201000437144CUWMCXC
459,302010-00424517
460,30201100460938
461,30201100445534
462,30201000426554
463,30201000341075
464,30200900118853CUPTCJC
465,30200900302696
466,30201100441033CUHRHLH
467,30201000395264
468,30201100448549CUORCJC
469,30201000377944CUWTCJC
470,30201000401344
471,30201000401504
472,30201000379851CUDFCJC
473,30201000418371
474,30201000421146
475,30201000406769CUORCJC
476,30201000420414
477,30201000427473
478,30201000415075
479,30201000413685
480,30201000406769CUORCJC
481,30201000382036CUMCCJC
482,30201000370355
483,30201000393012
484,30201000421082
485,30201000369532
486,30201000391332
487,30200800114194
488,30201000368722CUBTCJC
489,06CC12770
490,30201000370355
491,30201000372000
492,30201000340348
493,30201000375609
494,30201000385038
495,30201000353229
496,30201000353229
497,30201000387626
498,30201000367330
499,30200800104989
500,30201000371636
501,30201000365771
502,30201000368722CUBTCJC
503,30201000360280
504,30201000376081
505,30200900121536
506,30201000361065
507,30201000351170CUDFCJC
508,30201000350941
509,30201000353475CUMCCJC
510,30201000356179
511,"200800088258, 200800090474, 200900119516"
512,30201000341592
513,06CC12234
514,30201000339534
515,07CC04823
516,30200900122260
517,30200900312747
518,30201000355781
519,07CC-03933
520,07CC01390
521,30200800107531
522,30200900307381
523,30200900322220
524,30200900322220
525,30200900301705
526,30200900287278
527,07CC10320
528,07CC02760
529,30200800108081
530,30200900297402
531,001111180
532,30200900125475
533,30200900180143
534,30200900125475
535,30200800103118
536,05P000881
537,30200900297882
538,30200800105989
539,06CC11585
540,06CC07095
541,"06CC05057, 06CC05675, 06CC05750"
542,30200900292573
543,06CC03054
544,06CC03688
545,05CC07563
546,05CC04546
547,30200900297402
548,30200800108629
549,3200900308503
550,30200900307566
551,30200900125557
552,30200900125409
553,30200900238287CLPOCJC
554,30200900126223
555,30200900307566
556,A241131
557,30200900307566
558,30200900238287CLPOCJC
559,30200800105394
560,05cCC2432
561,04CC03702
562,30200900124542
563,30200900121019
564,30200900119851
565,30200900117555
566,30200800114384
567,07CC03249
568,30200800107531
569,30200800113872CUFRCJC
570,30200900124090
571,30200800110725
572,30200900290434
573,30200800103399
574,30200900117219
575,30200900117620
576,30200900123277
577,30200900290434
578,30200800111911
579,30200900123086
580,07CC11729
581,30200800102680
582,302008;00101673
583,302009119787
584,30200800223059SCSCHLH
585,30200900117620
586,30200800116818
587,30200800112127
588,07CC01390
589,30200900121019
590,30200900120419
591,302008/00105835
592,302008/00105431
593,30200900125719
594,30200800108531
595,30200900123830
596,00112225
597,30200800115154
598,06CC11295
599,06CC11295
600,30200900118569
601,30200900119851
602,30200900122016
603,30200800113229
604,07CC03249
605,30200900120392
606,30200800110725
607,30200800106634
608,30200800110186
609,30200800108627
610,07CC06664
611,30200800108611
612,30200800108611
613,30200800105832
614,07HL04390
615,30200800108611
616,05CC13412
617,07CC08181
618,07CC09884
619,30200700030015
620,30200700030965
621,30200700030944
622,302007000309671
623,30200700030958
624,00100546302007
625,A182042
626,A182042
627,30200800104774
628,1200040607
629,07CC12011
630,07CC11902
631,07CC09884
632,07CC12497
633,30200700100248
634,07CC12492
635,30200700100309
636,07CC04832
637,07CC12011
638,07CC06699
639,A182042
640,07CC11263
641,07CC11454
642,30200700100644CUNPCJC
643,07CC11454
644,07CC07817
645,07CC09425
646,07CC08828
647,07CC07817
648,07CC10336
649,07CC07540
650,07CC90425
651,07CL03591
652,07CC07753
653,07CC05580
654,07CC07753
655,06CC12313
656,07CC05580
657,07CC05386
658,07CC07649
659,07CC08361
660,07CC06269
661,07CC07291
662,07CC03755
663,07CC02974
664,07CC02120
665,06CC11830
666,07CC02899
667,06CC09806
668,06CC09806
669,07CC02790
670,07CC03134
671,07CC02790
672,06CC08699
673,06CC08699
674,05CC11243
675,06CC12254
676,06CC11355
677,06CC12217
678,06CC02849
679,05CC03856
680,06CC09445
681,06CC12861
682,06CC12217
683,04CC12510
684,06CC12066
685,06CC04756
686,06CC01968
687,06CC11410
688,06CC11410
689,06CC11410
690,06CC04756
691,06CC09596
692,06CC07698
693,06CC09060
694,06CC08249
695,06CC04517
696,06CC05487
697,06CC09940
698,06CC07885
699,05CC12144
700,06CC04517
701,06CC02098
702,06CC05487
703,06CC05253
704,06CC04517
705,06CC02098
706,03CC14889
707,06CC06279
708,06CC06053
709,05CC09929
710,06CC01877
711,SACV05642DOC(MLGx)
712,05CC05982
713,06CC03022
714,05CC09929
715,05CC12583
716,05CC13474
717,05CC12583
718,
719,06CC02342
720,06CC02008
721,06CC02391
722,06CC01967
723,06CC01967
724,06CC01877
725,05CC07983
726,05CC09806
727,06CC01877
728,06CC02575
729,05CC07881
730,05CC12350
731,05C01178
732,05CC07912
733,05CC09106
734,05CC12556
735,05CC10117
736,05CC09135
737,05CC09106
738,05CC10117
739,05CC07554
740,05CC06595
741,05CC08082
742,05CC07554
743,05CC06993
744,05CC08916
745,05CC07809
746,05WL03709
747,05CC07563
748,04CC11777
749,05CC02887
750,04CC05115
751,05CC03084
752,03CC01709
753,05CC073333
754,05CC072563
755,05CC04791
756,04CC12006
757,04CC12299
758,04CC06885
759,05CC04057
760,05CC00054
761,04CC05115
762,04CC07917
763,04CC11777
764,01CC07725
765,03CC00195
766,05CC06143
767,03CC05007
768,03CC07834
769,04CC03786
770,04CC07385
771,04CC07429
772,03CC09546
773,4392
774,05CC03545
775,04CC11122
776,05CC01833
777,04CC09607
778,05CC02156
779,05CC03619
780,05CC03856
781,04CC08068
782,04CC05115
783,05CC02405
784,05CC03856
785,04CC11113
786,05CC02084
787,03CC11089
788,04CC12640
789,04CC10737
790,04CC10971
791,04CC11360
792,04CC06767
793,04CC11189
794,04CC04422
795,03CC09546
796,04CC07215
797,04CC03890
798,04CC05566
799,04CC07579
800,03CC03896
801,04CC05566
802,03CC03896
803,03CC13878
804,04CC06654
805,03CC14977
806,04WL02951
807,03CC13878
808,04CC06092
809,03CC09034
810,04CC02429
811,03CC11445
812,04CC05566
813,03CC02422
814,03CC05007
815,04CC04336
816,04CC02899
817,04CC02899
818,03CC05007
819,04CC02899
820,03CC01215
821,03CC13424
822,03CC01215
823,03CC12513
824,04CC02606
825,03CC13424
826,04CC02257
827,03CC05920
828,04CC01910
829,03CC12619
830,03CC05920
831,03CC09887
832,813214
833,03CC00451
834,03CC11184
835,03CC11220
836,03CC11184
837,03CC05448
838,03CC10081
839,03CC08825
840,03CC04860
841,03CC03264
842,03CC08218
843,02CC12030
844,03CC10417
845,03CC10417
846,03CC10529
847,03CC09432
848,03CC07008
849,03CC04679
850,03CC07008
851,03CC09432
852,03CC09432
853,SA02289GLT(ANX)
854,03CC04861
855,03CC04861
856,03CC04861
857,03CC08464
858,02CC01433
859,03CC04878
860,03CC04791
861,03CC04435
862,03CC02593
863,03CC03785
864,03CC02201
865,02CC14903
866,03CC02673
867,02CC14662
868,01CC16248
869,02CC16359
870,03CC03785
871,02CC17434
872,02CC17138
873,01CC13243
874,02CC04891
875,01CC08277
876,OOCC03833
877,02CC19031
878,02CC14833
879,02CC15803
880,00CC13568
881,02CC15430
882,02CC05938
883,02CC00244
884,03CC01416
885,02CC05938
886,02CC17828
887,02CC04857
888,02CC01130
889,02CC17923
890,02CC10262
891,02CC02746
892,02CC03957
893,02CC00293
894,02CC02573
895,01CC08277
896,02CC13200
897,02CC13230
898,02CC16184
899,01CC16248
900,02CC04635
901,02CC15762
902,02CC12539
903,02CC15430
904,02CC00151
905,02CC06894
906,02CC12520
907,02CC14087
908,00CC13568
909,02CC12793
910,02CC10953
911,01CC16248
912,02CC07450
913,02SL01646
914,02CC05641
915,02CC00006
916,02CC07606
917,02CC05018
918,02CC05018
919,02CC03795
920,00CC06636
921,01CC00158
922,01CC14894
923,01CC16248
924,01CC14894
925,02CC03957
926,01CC13039
927,02CC02652
928,02CC02790
929,02CC02573
930,01CC15107
931,01CC14894
932,01CC07444
933,01CC07444
934,01CC11867
935,01CC13175
936,01CC10910
937,01CC12622
938,00CC12670
939,01CC10278
940,01CC09334
941,00CC12965
942,01CC06435
943,812346
944,01CC006923
945,00CC08925
946,01CC06785
947,01CC06785
948,01CC04947
949,SACV01351GLT(Anx)
950,01CC01597
951,00CC05951
952,01CC00931
953,00CC14201
954,00CC13445
955,00CC12008
956,00CC08925
957,00CC14582
958,00CC03833
959,00CC11483
960,816772
961,OOCC10533
962,00CC13295
963,00CC12420
964,00CC11468
965,00CC12620
966,OOCC03833
967,816772
968,00CC00061
969,C768500
970,00CC10081
971,00CC06778
972,00CC00060
973,99CL006300
974,00CC04306
975,00CC05951
976,00CC02785
977,782501
978,00CC02785
979,815492
980,811519
981,805981
982,00CC01090
983,811996
984,732664
985,782501
986,00CC01089
