,Riverside
0,PRIN200857
1,MCC2001165
2,RIC2002634
3,RIC10905992
4,MCC1901409
5,RIC2002386
6,RIC1511553
7,RIC2000729
8,PSC1804165
9,RIC2001374
10,PRIN2000355
11,RIC2002938
12,PSC1908552
13,MCC2000970
14,RIC1904098
15,RIC1904098
16,PSC1908679
17,MCC1901065
18,PSC1803323
19,PSC1901903
20,PSC1900671
21,MCC1900444
22,PRIN1900734
23,PSC1900475
24,RIC1902794
25,PSC1900671
26,RIC1904008
27,MCC1900188
28,PSC1902738
29,MCC1900188
30,RIC1902167
31,RIC1901886
32,PSC1900475
33,INP1700798
34,RIC1814335
35,MCC1801448
36,PSC1802740
37,MCC1700941
38,MCC1700941
39,MCC1701334
40,RIC1808252
41,PSC1803755
42,RIC1716468
43,RIC1803060
44,PSC1705646
45,MCC1800547
46,PSC1800339
47,RIC1808641
48,MCC1800379
49,MCC1800033
50,PSC1802740
51,RIC1724053
52,RIC1808252
53,RIC1803060
54,PSC1600345
55,RIC1707701
56,RIC1505257
57,PSC1704870
58,RIC1715684
59,PSC1705925
60,RIC1720962
61,RIC1720962
62,RIC1720444
63,PSC1605598
64,PSC1706003
65,PSC1706595
66,PSC1600345
67,PSC1600345
68,RIC1714632
69,MCC1700760
70,RIC1515215
71,MCC1600824
72,PSC1702856
73,MCC1600824
74,RIC1603003
75,MCC1700108
76,RIC1602799
77,RIC1705826
78,RIC1701857
79,RIC1617114
80,RIC1610703
81,RIC1605059
82,PSC1506028
83,RIC1606203
84,PSC1506000
85,RIC1611766
86,RIC1612885
87,PSC1602334
88,PSC1604881
89,PSC1505335
90,RIC1609373
91,RIC1515215
92,RIC1606323
93,RIC1606203
94,MCC1400959
95,MCC1400959
96,RIC1602799
97,RIC1506060
98,MCC1600042
99,RIC1506060
100,RIC1503302
101,RIC1308906
102,RIC1506060
103,PSC1505003
104,PSC1503970
105,MCC1600042
106,RIC1514761
107,RIC1506060
108,INC1205224
109,RIC1502626
110,RIC1505029
111,RIC1507547
112,PSC1503649
113,PSC1402303
114,PSC1302814
115,MCC1300894
116,RIC1411580
117,PSC1405894
118,RIC1500708
119,MCC1301009
120,RIC1411561
121,RIC1410149
122,RES41302
123,PSC1302814
124,RIC1500708
125,MCC1400527
126,RIC1311889
127,PSC1401012
128,PSC1301581
129,RIC1309294
130,INC1304362
131,RIC1313047
132,RIC1311855
133,RIC1217004
134,MCC1301015
135,MCC1301019
136,MCC1300996
137,INC1205224
138,RIC1300252
139,INC1302428
140,INC1202708
141,RIC1304663
142,RIC1216310
143,INC1300491
144,RIC1206473
145,INC1300583
146,INC1208901
147,RIC1204151
148,RIC1216761
149,RIC10025131
150,SWD012791
151,RIC1106858
152,RIC1212940
153,RIC1204151
154,TEC10001098
155,RIC1110853
156,RIC1206530
157,RIC1201193
158,RIC10002549 opposition
159,RIC1206139
160,RIC1116399
161,INC1106414
162,RIC1116399
163,INC1200914
164,INC10006597
165,INC088577
166,INC088577
167,INC1107501
168,RIC10020292
169,RIC1112269
170,RIC10020292
171,RIC1111653
172,INC10006597
173,RIC528568
174,RIC1107293
175,RIC1101087
176,1104403
177,RIC1103380
178,RIC1103796
179,RIC1103380
180,RIC10015548
181,RIC526641
182,INC10010557
183,RIC 458659
184,RIC10018721
185,RIC529493
186,RIC10023978
187,RIC10020318
188,RIC10023978
189,RIC10019763
190,SWD016997
191,RIC10014716
192,INC10008884
193,RIC10006778
194,INC063647
195,RIC522907
196,RIC10011430
197,TEC097597
198,TEC097597
199,RIC528112
200,RIC538578
201,RIC538578
202,RIC542623
203,RIC10001479
204,RIC542897
205,RIC541258
206,RIC513412
207,RIC534823
208,HEC022575
209,HEC022694
210,TEC079391
211,INC080760
212,RIC511098
213,RIC513788
214,RIC427295
215,RIC517278
216,RIC51744
217,INC085100
218,INC077290
219,RIC513788
220,INC046308
221,INF064588
222,INC083821
223,BC404962
224,RIC505026
225,RIC501069
226,RIC429166
227,RIC429166
228,RIC449187
229,RIC4113434
230,RIC488865
231,RIC496458
232,RIC48865
233,INC070892
234,RIC476399
235,INC067991
236,479826
237,INC067991
238,RIC468575
239,INC067991
240,RIC474602
241,RIC460065
242,RIC459100
243,RIC395166
244,RIC462589
245,RIC453907
246,RIC459100
247,RIC458268
248,RIC457936
249,INC060310
250,INC060310
251,RIC450529
252,INC054566
253,RIC450454
254,RIC440360
255,RIC443761
256,RIC443532
257,RIC426928
258,430222
259,RIC443761
260,RIC440908
261,RIC443761
262,RIC430082
263,INC049862;INC051772
264,INC048276
265,RIC434579
266,INC040683
267,429307
268,RIC424127
269,RIC407723
270,RIC424505
271,INC045204
272,RIC419473
273,RIC419274
274,RIC410746
275,INC045204
276,RIC405259
277,RIC409793
278,INC042657
279,INC041887
280,INC041812
281,RIC407723
282,RIC403483
283,RIC403483
284,RIC405259
285,RIC406573
286,RIC383095
287,RIC406573
288,031863
289,INC036946
290,INC036946
291,INC030208
292,INC030149
293,INC036946
294,INC034032
295,INC031863
296,INC036189
297,INC036189
298,RIC390934
299,INC027918
300,RIC390539
301,INC034032
302,RIC390539
303,INC034033
304,RIC380626
305,RIC382868
306,RIC364125
307,RIC377747
308,INC033952
309,INC027918
310,INC028696
311,RIC378049
312,382542
313,RIC378703
314,BAC004498
315,RIC377747
316,RIC385312
317,EDCV021091RT(SGLx)
318,RIC380693
319,RIC373009
320,RIC380693
321,346106
322,RIC373809
323,374987
324,BLC002010
325,343129
326,INC024872
327,357815
328,RIC357815
329,351356
330,RIC347771
331,INC022158
332,INC022290
333,INCR354459
334,353806
335,353806
336,347771
337,INC016925
338,BLC001401
339,341896
340,BLC001401
341,295533
342,RIC329434
343,331537
344,INCR335190
